,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
758,Detachment,2011,98 min,Drama            ,7.7,52,"84,236",$0.07M,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,Not Rated
759,Midnight in Paris,2011,94 min,"Comedy, Fantasy, Romance            ",7.7,81,"417,733",$56.82M,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",PG-13
760,Confessions,2010,106 min,"Drama, Thriller            ",7.7,None,"38,800",None,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,Not Rated
761,The Man from Nowhere,2010,119 min,"Action, Crime, Drama            ",7.7,None,"68,784",$0.01M,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,R
762,The Lego Movie,2014,100 min,"Animation, Action, Adventure            ",7.7,83,"347,985",$257.76M,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",PG
763,Gravity,2013,91 min,"Action, Drama, Sci-Fi            ",7.7,96,"813,500",$274.09M,Two astronauts work together to survive after an accident leaves them stranded in space.,PG-13
764,Star Trek Into Darkness,2013,132 min,"Action, Adventure, Sci-Fi            ",7.7,72,"480,179",$228.78M,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",PG-13
765,Beasts of No Nation,2015,137 min,"Drama, War            ",7.7,79,"80,517",$0.08M,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country.",TV-MA
766,X: First Class,2011,131 min,"Action, Adventure, Sci-Fi            ",7.7,65,"682,286",$146.41M,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",PG-13
767,The Hangover,2009,100 min,Comedy            ,7.7,73,"769,622",$277.32M,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",R
768,The Trial of the Chicago 7,2020,129 min,"Drama, History, Thriller            ",7.7,76,"172,185",None,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",R
769,Silver Linings Playbook,2012,122 min,"Comedy, Drama, Romance            ",7.7,81,"700,171",$132.09M,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",R
770,Another Round,2020,117 min,"Comedy, Drama            ",7.7,79,"145,261",None,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,Not Rated
771,Argo,2012,120 min,"Biography, Drama, Thriller            ",7.7,86,"607,214",$136.03M,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",R
772,500 Days of Summer,2009,95 min,"Comedy, Drama, Romance            ",7.7,76,"504,654",$32.39M,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",PG-13
773,Harry Potter and the Deathly Hallows: Part 1,2010,146 min,"Adventure, Family, Fantasy            ",7.7,65,"533,746",$295.98M,"As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",PG-13
774,The Boy in the Striped Pajamas,2008,94 min,"Drama, War            ",7.7,55,"213,880",$9.03M,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",PG-13
775,The Edge of Heaven,2007,122 min,Drama            ,7.7,85,"32,016",$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.,Not Rated
776,Frost/Nixon,2008,122 min,"Biography, Drama, History            ",7.7,80,"107,651",$18.59M,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.,R
777,Paprika,2006,90 min,"Animation, Drama, Fantasy            ",7.7,81,"81,311",$0.88M,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.",R
778,Flipped,I 2010,90 min,"Comedy, Drama, Romance            ",7.7,45,"89,102",$1.75M,Two eighth-graders start to have feelings for each other despite being total opposites.,PG
779,The Girl Who Leapt Through Time,2006,98 min,"Animation, Adventure, Comedy            ",7.7,None,"65,483",None,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own.",TV-PG
780,This Is England,2006,101 min,"Crime, Drama            ",7.7,86,"121,550",$0.33M,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",Not Rated
781,Ex Machina,2014,108 min,"Drama, Sci-Fi, Thriller            ",7.7,78,"530,231",$25.44M,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,R
782,After the Wedding,2006,120 min,Drama            ,7.7,78,"34,518",$0.41M,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",R
783,The Last King of Scotland,2006,123 min,"Biography, Drama, History            ",7.7,74,"184,890",$17.61M,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,R
784,Zodiac,2007,157 min,"Crime, Drama, Mystery            ",7.7,78,"526,402",$33.08M,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",R
785,Lucky Number Slevin,2006,110 min,"Crime, Drama, Thriller            ",7.7,53,"311,116",$22.49M,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",R
786,Joyeux Noel,2005,116 min,"Drama, History, Music            ",7.7,70,"29,706",$1.05M,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.",PG-13
787,Control,2007,122 min,"Biography, Drama, Music            ",7.7,78,"64,918",$0.87M,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",R
788,Adam's Apples,2005,94 min,"Comedy, Crime, Drama            ",7.7,51,"50,364",$0.00M,A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.,R
789,Tangled,2010,100 min,"Animation, Adventure, Comedy            ",7.7,71,"441,977",$200.82M,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",PG
790,Black Book,2006,145 min,"Drama, Thriller, War            ",7.7,71,"76,522",$4.40M,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",R
791,Brokeback Mountain,2005,134 min,"Drama, Romance            ",7.7,87,"351,632",$83.04M,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,R
792,3:10 to Yuma,2007,122 min,"Action, Crime, Drama            ",7.7,76,"307,157",$53.61M,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,R
793,Kung Fu Hustle,2004,99 min,"Action, Comedy, Fantasy            ",7.7,78,"137,503",$17.11M,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",R
794,The Bourne Supremacy,2004,108 min,"Action, Mystery, Thriller            ",7.7,73,"458,228",$176.24M,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",PG-13
795,The Machinist,2004,101 min,"Drama, Thriller            ",7.7,61,"383,176",$1.08M,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,R
796,Ray,I 2004,152 min,"Biography, Drama, Music            ",7.7,73,"146,445",$75.33M,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",PG-13
797,Evil,2003,113 min,Drama            ,7.7,61,"38,318",$0.02M,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",Not Rated
798,Lost in Translation,2003,102 min,"Comedy, Drama            ",7.7,89,"445,948",$44.59M,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,R
799,Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy            ",7.7,81,"610,073",$290.01M,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",PG-13
800,Man on Fire,2004,146 min,"Action, Crime, Drama            ",7.7,47,"357,596",$77.91M,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",R
801,Coraline,2009,100 min,"Animation, Drama, Family            ",7.7,80,"220,637",$75.29M,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",PG
802,The Magdalene Sisters,2002,114 min,Drama            ,7.7,83,"27,168",$4.89M,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,R
803,21 Grams,2003,124 min,"Crime, Drama, Thriller            ",7.7,70,"234,996",$16.29M,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",R
804,Finding Neverland,2004,106 min,"Biography, Drama, Family            ",7.7,67,"205,530",$51.68M,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,PG
805,Good Bye Lenin!,2003,121 min,"Comedy, Drama, Romance            ",7.7,68,"145,126",$4.06M,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.",R
806,In America,2002,105 min,Drama            ,7.7,76,"42,990",$15.54M,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,PG-13
807,The Triplets of Belleville,2003,80 min,"Animation, Comedy, Drama            ",7.7,91,"54,220",$7.00M,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",PG-13
808,Adaptation.,2002,115 min,"Comedy, Drama            ",7.7,83,"190,820",$22.25M,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,R
809,Black Hawk Down,2001,144 min,"Action, Drama, History            ",7.7,74,"390,162",$108.64M,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis.",R
810,Road to Perdition,2002,117 min,"Crime, Drama, Thriller            ",7.7,72,"264,381",$104.45M,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",R
